,neighborhood,code,name,longitude,latitude,rental_methods,capacity
103,Ville-Marie,6116,Plessis / Ontario,-73.56073021888733,45.52349210923463,"['KEY', 'CREDITCARD']",15.0
104,Ville-Marie,6117,de Maisonneuve / Aylmer (est),-73.57048004865646,45.50526304478131,"['KEY', 'CREDITCARD']",13.0
105,Ville-Marie,6118,de Champlain / Ontario,-73.56020584702492,45.52510954917077,"['KEY', 'CREDITCARD']",23.0
106,Ville-Marie,6119,Ontario / de Lorimier,-73.55753839015959,45.52773089755533,"['KEY', 'CREDITCARD']",35.0
107,Ville-Marie,6120,Métro Frontenac (Ontario / du Havre),-73.55217933654784,45.53370598779895,"['KEY', 'CREDITCARD']",23.0
108,Ville-Marie,6121,du Havre / de Rouen,-73.55478646466509,45.53456256501449,"['KEY', 'CREDITCARD']",27.0
109,Ville-Marie,6122,Logan / d'Iberville,-73.54913,45.53057,"['KEY', 'CREDITCARD']",19.0
110,Ville-Marie,6123,Alexandre-DeSève / la Fontaine,-73.55821833014488,45.52327641182773,"['KEY', 'CREDITCARD']",19.0
111,Ville-Marie,6124,Poupart / Ontario,-73.55343863368034,45.53193889278052,"['KEY', 'CREDITCARD']",15.0
112,Ville-Marie,6126,Fullum / de Rouen,-73.55871319770813,45.53213680524969,"['KEY', 'CREDITCARD']",27.0
113,Ville-Marie,6128,Hogan / Ontario,-73.55116009712219,45.53529548038031,"['KEY', 'CREDITCARD']",11.0
114,Ville-Marie,6129,de Bordeaux / Sherbrooke,-73.56305301189423,45.52997069129102,"['KEY', 'CREDITCARD']",19.0
115,Ville-Marie,6130,Sherbrooke / Frontenac,-73.56081,45.5367,"['KEY', 'CREDITCARD']",15.0
116,Ville-Marie,6132,Larivière / de Lorimier,-73.55923354625702,45.5291345371163,"['KEY', 'CREDITCARD']",35.0
117,Ville-Marie,6171,Wolfe / Robin,-73.5601159930229,45.51958082831579,"['KEY', 'CREDITCARD']",23.0
118,Ville-Marie,6180,St-Dominique / René-Lévesque,-73.56135785579681,45.5094183667176,"['KEY', 'CREDITCARD']",35.0
119,Ville-Marie,6194,Métro Atwater (Atwater / Ste-Catherine),-73.58456566929817,45.48947622882084,"['KEY', 'CREDITCARD']",27.0
120,Ville-Marie,6215,Metcalfe / St-Catherine,-73.57245951890945,45.50083231626815,"['KEY', 'CREDITCARD']",43.0
121,Ville-Marie,6269,Wurtele / de Rouen,-73.5533943772316,45.5376278134876,"['KEY', 'CREDITCARD']",15.0
122,Ville-Marie,6359,Ste-Catherine / St-Laurent,-73.5638952255249,45.50981336049594,"['KEY', 'CREDITCARD']",27.0
123,Ville-Marie,6413,Union / Cathcart,-73.56875538825989,45.50355184389659,"['KEY', 'CREDITCARD']",34.0
124,Ville-Marie,6424,Square Chaboillez (St-Jacques / de la Cathédrale),-73.56491714715958,45.49656303562923,,
125,Ville-Marie,6501,Metro Jean-Drapeau (Chemin Macdonald),-73.5311159491539,45.512800575819625,"['KEY', 'CREDITCARD']",47.0
126,Ville-Marie,6502,Casino de Montréal,-73.52457672,45.5063732,"['KEY', 'CREDITCARD']",19.0
127,Ville-Marie,6504,La Ronde,-73.53533238172531,45.52156536710626,"['KEY', 'CREDITCARD']",23.0
128,Ville-Marie,6701,Stanley / Sherbrooke,-73.57717752456664,45.50104110864491,"['KEY', 'CREDITCARD']",23.0
129,Ville-Marie,6729,St-André / Ste-Catherine,-73.5581123828888,45.516426545782224,"['KEY', 'CREDITCARD']",15.0
130,Ville-Marie,6738,Union / René-Lévesque,-73.56658279895781,45.50235036136798,"['KEY', 'CREDITCARD']",31.0
131,Ville-Marie,6743,St-Marc / Sherbrooke,-73.583368,45.494514,"['KEY', 'CREDITCARD']",15.0
132,Ville-Marie,6749,St-Jacques / St-Laurent,-73.55646550655365,45.50642115207643,"['KEY', 'CREDITCARD']",15.0
133,Ville-Marie,6901,Gare d'autocars de Montréal (Berri / Ontario),-73.5639488697052,45.51689676614314,"['KEY', 'CREDITCARD']",15.0
134,Ville-Marie,6902,Montcalm / Ontario,-73.56227517127991,45.521081043206834,"['KEY', 'CREDITCARD']",23.0
135,Ville-Marie,7003,Métro Guy-Concordia (Guy / St-Catherine),-73.57773274183273,45.49498148219463,"['KEY', 'CREDITCARD']",31.0
136,Ville-Marie,7009,Place Émilie-Gamelin (de Maisonneuve / Berri),-73.56096625328064,45.51569016499682,,
137,Ville-Marie,7011,Panet / de Maisonneuve,-73.55614364147186,45.52057363501344,"['KEY', 'CREDITCARD']",27.0
138,Ville-Marie,7012,St-Hubert / René-Lévesque,-73.55646349489689,45.51433537033962,"['KEY', 'CREDITCARD']",19.0
139,Ville-Marie,7041,de Maisonneuve / Peel,-73.57457846403122,45.50095054783712,"['KEY', 'CREDITCARD']",31.0
140,Ville-Marie,7046,de Maisonneuve / Mansfield (nord),-73.57333794236183,45.50238607958335,"['KEY', 'CREDITCARD']",15.0
141,Ville-Marie,7066,St-Urbain / de la Gauchetière,-73.56139540672302,45.50707812811467,"['KEY', 'CREDITCARD']",43.0
142,Ville-Marie,7067,City Councillors / du President-Kennedy,-73.57139065861702,45.50625103256782,"['KEY', 'CREDITCARD']",31.0
143,Ville-Marie,7069,Jeanne-Mance / René-Lévesque,-73.5642009973526,45.5063713381299,"['KEY', 'CREDITCARD']",66.0
144,Ville-Marie,7071,St-Mathieu / Sherbrooke,-73.58259558677672,45.49578910481176,"['KEY', 'CREDITCARD']",23.0
145,Ville-Marie,7072,Beaudry / Sherbrooke,-73.56539458036421,45.52303493310712,"['KEY', 'CREDITCARD']",27.0
146,Ville-Marie,7073,Logan / de Champlain,-73.55584256350994,45.5231943285584,"['KEY', 'CREDITCARD']",19.0
147,Ville-Marie,7074,St-André / Robin,-73.56185138225555,45.5181280865132,"['KEY', 'CREDITCARD']",15.0
148,Ville-Marie,7076,Tupper / du Fort,-73.58078241348267,45.49122961531575,"['KEY', 'CREDITCARD']",19.0
149,Ville-Marie,7077,Jean Langlois / Fullum,-73.54575277422555,45.526499983000186,"['KEY', 'CREDITCARD']",31.0
150,Ville-Marie,7078,Hochelaga / Chapleau,-73.55965197086334,45.53445294687473,"['KEY', 'CREDITCARD']",23.0
151,Ville-Marie,7079,Notre-Dame / Gauvin,-73.56019914150238,45.50010529681542,"['KEY', 'CREDITCARD']",19.0
152,Ville-Marie,7080,du President-Kennedy / Union,-73.57202768325806,45.50501114975704,"['KEY', 'CREDITCARD']",23.0
153,Ville-Marie,7081,St-Denis / de Maisonneuve,-73.56173202395439,45.514384629068346,"['KEY', 'CREDITCARD']",23.0
154,Ville-Marie,7084,McTavish / Sherbrooke,-73.57602417469025,45.502812816508936,"['KEY', 'CREDITCARD']",23.0
155,Ville-Marie,7139,Parc Plage,-73.52779269218445,45.50282785563674,"['KEY', 'CREDITCARD']",15.0
