code,name,neighborhood,longitude,latitude,Capacity,Current_Bikes,recommended_adds,recommended_removals
6181,Clark / Rachel,Le Plateau-Mont-Royal,-73.58212888,45.5173538,45,18,27,0
6182,de Bullion / du Mont-Royal,Le Plateau-Mont-Royal,-73.58526840806007,45.52175120848515,20,3,17,0
6183,Laval / du Mont-Royal,Le Plateau-Mont-Royal,-73.58414590358734,45.5223645775784,20,13,0,0
6184,Métro Mont-Royal (Rivard / du Mont-Royal),Le Plateau-Mont-Royal,-73.58255,45.524673,40,2,25,0
6185,des Érables / Bélanger,Rosemont-La Petite-Patrie,-73.60087350010872,45.54912085535069,5,4,1,0
6187,Resther / du Mont-Royal,Le Plateau-Mont-Royal,-73.58177483081818,45.52562819123256,15,5,0,0
6188,de Mentana / Marie-Anne,Le Plateau-Mont-Royal,-73.57785880565643,45.52602656522141,15,14,0,0
6189,Chabot / Everett,Villeray-Saint-Michel-Parc-Extension,-73.60957056283951,45.55072306022627,5,1,0,0
6190,Pontiac / Gilford,Le Plateau-Mont-Royal,-73.58576595783234,45.527009334270645,40,10,28,0
6191,St-Zotique / Clark,Rosemont-La Petite-Patrie,-73.612674,45.531401,10,10,0,2
6192,Berri / St-Grégoire,Le Plateau-Mont-Royal,-73.5919028520584,45.52996959525513,15,5,1,0
6193,de l'Esplanade / Fairmount,Le Plateau-Mont-Royal,-73.596758,45.521495,10,1,1,0
6194,Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,-73.58456566929817,45.48947622882084,25,23,0,0
6195,de Bullion / St-Joseph,Le Plateau-Mont-Royal,-73.59014332294464,45.5240365462478,40,18,22,0
6196,Villeneuve / St-Laurent,Le Plateau-Mont-Royal,-73.58941912651062,45.52134173413233,35,3,32,0
6197,de Bordeaux / Masson,Le Plateau-Mont-Royal,-73.5824453830719,45.53898439552301,10,7,0,0
6198,Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,-73.59527,45.52974,10,9,0,3
6199,St-Viateur / St-Laurent,Le Plateau-Mont-Royal,-73.59883904457092,45.52593073022709,25,13,7,0
6200,Maguire / St-Laurent,Le Plateau-Mont-Royal,-73.5958108305931,45.52462848559264,15,3,8,0
6201,Villeneuve / de l'Hôtel-de-Ville,Le Plateau-Mont-Royal,-73.58733236789703,45.52354419830203,20,10,10,0
6202,Ste-Famille / Sherbrooke,Le Plateau-Mont-Royal,-73.57075229287146,45.51007154847701,25,7,14,0
6203,Aylmer / Sherbrooke,Le Plateau-Mont-Royal,-73.57329905033112,45.50658668914343,15,11,0,0
6204,Milton / Durocher,Le Plateau-Mont-Royal,-73.57492983341217,45.508140959417744,15,15,0,0
6205,Milton / du Parc,Le Plateau-Mont-Royal,-73.57386365532875,45.50936142835129,20,4,16,0
6206,Prince-Arthur / du Parc,Le Plateau-Mont-Royal,-73.57547,45.51059,20,15,4,0
6207,Ste-Famille / des Pins,Le Plateau-Mont-Royal,-73.57688784599304,45.51283174510449,10,6,0,0
6208,Hutchison / des Pins,Le Plateau-Mont-Royal,-73.57805,45.51069,10,10,0,2
6209,Milton / Clark,Le Plateau-Mont-Royal,-73.57067719101906,45.51254135285248,35,35,0,0
6210,Métro Sauvé (Berri / Sauvé),Ahuntsic-Cartierville,-73.65636706352234,45.55069206841976,10,5,0,0
6211,Roy / St-Laurent,Le Plateau-Mont-Royal,-73.57580825686453,45.515616239398405,25,1,24,0
6212,Duluth / de l'Esplanade,Le Plateau-Mont-Royal,-73.58114182949066,45.51509198406273,35,1,34,0
6213,Duluth / St-Laurent,Le Plateau-Mont-Royal,-73.57946008443832,45.51687640567004,10,6,4,0
6214,Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,-73.5701286792755,45.516090801970655,30,10,6,0
6215,Metcalfe / St-Catherine,Ville-Marie,-73.57245951890945,45.50083231626815,15,7,8,0
6216,Parc Jeanne Mance (monument sir George-Etienne Cartier),Le Plateau-Mont-Royal,-73.58477890491486,45.51483985896893,75,39,31,0
6217,Vallières / St-Laurent,Le Plateau-Mont-Royal,-73.5836161673069,45.51896722332005,35,23,12,0
6218,Prince-Arthur / St-Urbain,Le Plateau-Mont-Royal,-73.57373893260956,45.51258740220925,20,14,6,0
6219,de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,-73.57460528612137,45.51740076184449,15,11,0,0
6220,Laval / Duluth,Le Plateau-Mont-Royal,-73.57718020677567,45.519216236873945,20,14,6,0
6221,du Mont-Royal / Clark,Le Plateau-Mont-Royal,-73.58685,45.51941,35,22,0,0
