station_code,date,departures,arrivals,excess_arrivals
6413,2019-04-14,2,3,1
6414,2019-04-14,4,12,8
6415,2019-04-14,4,5,1
6416,2019-04-14,4,2,-2
6419,2019-04-14,10,9,-1
6420,2019-04-14,7,11,4
6421,2019-04-14,23,15,-8
6422,2019-04-14,8,10,2
6423,2019-04-14,2,0,-2
6425,2019-04-14,7,13,6
6426,2019-04-14,23,24,1
6427,2019-04-14,20,17,-3
6428,2019-04-14,13,12,-1
6429,2019-04-14,13,15,2
6432,2019-04-14,21,24,3
6433,2019-04-14,10,4,-6
6434,2019-04-14,16,12,-4
6435,2019-04-14,8,13,5
6436,2019-04-14,4,3,-1
6502,2019-04-14,11,14,3
6503,2019-04-14,9,10,1
6504,2019-04-14,4,5,1
6700,2019-04-14,11,11,0
6701,2019-04-14,7,9,2
6702,2019-04-14,5,4,-1
6704,2019-04-14,4,4,0
6705,2019-04-14,10,17,7
6706,2019-04-14,6,11,5
6707,2019-04-14,9,3,-6
6708,2019-04-14,6,16,10
6709,2019-04-14,12,13,1
6710,2019-04-14,8,11,3
6711,2019-04-14,7,2,-5
6712,2019-04-14,16,11,-5
6713,2019-04-14,5,4,-1
6714,2019-04-14,6,5,-1
6715,2019-04-14,17,21,4
6716,2019-04-14,11,12,1
6717,2019-04-14,2,5,3
6719,2019-04-14,7,7,0
6720,2019-04-14,6,2,-4
6721,2019-04-14,9,5,-4
6722,2019-04-14,4,10,6
6723,2019-04-14,7,5,-2
6724,2019-04-14,15,22,7
6725,2019-04-14,14,10,-4
6726,2019-04-14,10,8,-2
6727,2019-04-14,15,27,12
6728,2019-04-14,2,1,-1
6729,2019-04-14,39,50,11
6731,2019-04-14,12,10,-2
6732,2019-04-14,13,15,2
6733,2019-04-14,11,7,-4
6737,2019-04-14,11,17,6
6738,2019-04-14,8,1,-7
6739,2019-04-14,2,3,1
6741,2019-04-14,10,6,-4
6742,2019-04-14,14,17,3
6743,2019-04-14,11,5,-6
6744,2019-04-14,7,7,0
6745,2019-04-14,12,5,-7
6746,2019-04-14,3,3,0
6747,2019-04-14,4,4,0
6748,2019-04-14,26,33,7
6749,2019-04-14,8,12,4
6753,2019-04-14,7,10,3
6754,2019-04-14,9,12,3
6901,2019-04-14,11,9,-2
6902,2019-04-14,25,24,-1
6903,2019-04-14,32,29,-3
6904,2019-04-14,16,7,-9
6905,2019-04-14,6,7,1
6906,2019-04-14,70,46,-24
6908,2019-04-14,22,30,8
6910,2019-04-14,28,33,5
6912,2019-04-14,24,33,9
6913,2019-04-14,18,12,-6
6915,2019-04-14,27,24,-3
6916,2019-04-14,11,7,-4
6917,2019-04-14,6,7,1
6918,2019-04-14,7,7,0
6919,2019-04-14,14,17,3
6921,2019-04-14,13,13,0
6923,2019-04-14,20,18,-2
6924,2019-04-14,11,6,-5
6925,2019-04-14,8,11,3
6926,2019-04-14,22,17,-5
6927,2019-04-14,7,8,1
6928,2019-04-14,12,1,-11
6929,2019-04-14,14,11,-3
6930,2019-04-14,6,6,0
7001,2019-04-14,5,13,8
7002,2019-04-14,8,13,5
7003,2019-04-14,36,27,-9
7004,2019-04-14,10,8,-2
7005,2019-04-14,3,3,0
7006,2019-04-14,9,8,-1
7007,2019-04-14,1,3,2
7008,2019-04-14,6,4,-2
7009,2019-04-14,26,28,2
7011,2019-04-14,20,14,-6
7012,2019-04-14,14,15,1
7013,2019-04-14,14,12,-2
7014,2019-04-14,11,10,-1
7015,2019-04-14,27,20,-7
7016,2019-04-14,3,6,3
7017,2019-04-14,8,10,2
7018,2019-04-14,12,11,-1
7019,2019-04-14,17,13,-4
7020,2019-04-14,11,5,-6
7021,2019-04-14,11,14,3
7022,2019-04-14,5,7,2
7023,2019-04-14,3,3,0
7024,2019-04-14,11,5,-6
7025,2019-04-14,8,8,0
7026,2019-04-14,15,13,-2
7027,2019-04-14,9,8,-1
7028,2019-04-14,14,15,1
7029,2019-04-14,21,15,-6
7030,2019-04-14,12,9,-3
7031,2019-04-14,15,25,10
7032,2019-04-14,45,39,-6
7033,2019-04-14,16,19,3
7034,2019-04-14,14,25,11
7035,2019-04-14,13,8,-5
7036,2019-04-14,20,17,-3
7037,2019-04-14,24,18,-6
7038,2019-04-14,29,20,-9
7039,2019-04-14,7,13,6
7040,2019-04-14,19,15,-4
7041,2019-04-14,27,38,11
7042,2019-04-14,13,11,-2
7043,2019-04-14,11,5,-6
7045,2019-04-14,28,38,10
7046,2019-04-14,40,47,7
7047,2019-04-14,31,41,10
7048,2019-04-14,13,19,6
7050,2019-04-14,11,7,-4
7051,2019-04-14,2,3,1
7052,2019-04-14,13,6,-7
7053,2019-04-14,5,10,5
7054,2019-04-14,26,23,-3
7055,2019-04-14,5,8,3
7056,2019-04-14,4,1,-3
7057,2019-04-14,18,17,-1
7058,2019-04-14,13,12,-1
7059,2019-04-14,6,5,-1
7060,2019-04-14,10,15,5
7061,2019-04-14,12,13,1
7062,2019-04-14,17,13,-4
7064,2019-04-14,2,4,2
7065,2019-04-14,11,15,4
7066,2019-04-14,5,33,28
7067,2019-04-14,18,21,3
7068,2019-04-14,15,27,12
7070,2019-04-14,10,9,-1
7071,2019-04-14,16,15,-1
7072,2019-04-14,8,8,0
7073,2019-04-14,17,12,-5
7074,2019-04-14,9,7,-2
7075,2019-04-14,9,6,-3
7076,2019-04-14,22,20,-2
7077,2019-04-14,3,0,-3
7078,2019-04-14,10,14,4
7079,2019-04-14,14,10,-4
7082,2019-04-14,14,20,6
7083,2019-04-14,17,15,-2
7084,2019-04-14,39,40,1
7090,2019-04-14,11,10,-1
7091,2019-04-14,4,4,0
7092,2019-04-14,9,5,-4
7093,2019-04-14,5,6,1
7094,2019-04-14,2,2,0
7095,2019-04-14,6,4,-2
7096,2019-04-14,4,13,9
7097,2019-04-14,3,3,0
7098,2019-04-14,4,5,1
7099,2019-04-14,5,4,-1
7102,2019-04-14,9,11,2
7103,2019-04-14,11,14,3
7104,2019-04-14,8,10,2
7105,2019-04-14,17,17,0
7106,2019-04-14,6,4,-2
7107,2019-04-14,5,3,-2
7108,2019-04-14,12,9,-3
7109,2019-04-14,7,7,0
7110,2019-04-14,14,14,0
7111,2019-04-14,8,7,-1
7112,2019-04-14,7,12,5
7113,2019-04-14,6,8,2
7117,2019-04-14,8,7,-1
7119,2019-04-14,12,9,-3
7120,2019-04-14,8,5,-3
7122,2019-04-14,1,1,0
7123,2019-04-14,1,2,1
7124,2019-04-14,5,7,2
7125,2019-04-14,28,25,-3
7126,2019-04-14,1,0,-1
7127,2019-04-14,11,11,0
7128,2019-04-14,4,10,6
7129,2019-04-14,7,9,2
7131,2019-04-14,5,6,1
7132,2019-04-14,13,9,-4
7133,2019-04-14,4,3,-1
7134,2019-04-14,2,3,1
7135,2019-04-14,8,2,-6
7136,2019-04-14,9,10,1
7137,2019-04-14,2,7,5
7138,2019-04-14,2,2,0
7139,2019-04-14,31,28,-3
7140,2019-04-14,3,0,-3
7141,2019-04-14,7,12,5
7142,2019-04-14,10,12,2
7143,2019-04-14,14,13,-1
7144,2019-04-14,12,12,0
7146,2019-04-14,4,4,0
7147,2019-04-14,9,6,-3
7148,2019-04-14,5,2,-3
7149,2019-04-14,3,4,1
10002,2019-04-14,34,22,-12
4000,2019-04-15,15,10,-5
4002,2019-04-15,14,23,9
5004,2019-04-15,1,1,0
5006,2019-04-15,2,1,-1
5007,2019-04-15,5,5,0
6001,2019-04-15,15,23,8
6002,2019-04-15,8,10,2
6003,2019-04-15,15,16,1
6004,2019-04-15,1,2,1
6006,2019-04-15,5,1,-4
6007,2019-04-15,10,17,7
6008,2019-04-15,14,34,20
6009,2019-04-15,10,12,2
6011,2019-04-15,21,29,8
6012,2019-04-15,19,44,25
6013,2019-04-15,14,12,-2
6014,2019-04-15,7,11,4
6015,2019-04-15,28,52,24
6016,2019-04-15,1,3,2
6017,2019-04-15,8,21,13
6018,2019-04-15,13,14,1
6019,2019-04-15,36,24,-12
6020,2019-04-15,21,35,14
6021,2019-04-15,33,17,-16
6022,2019-04-15,12,13,1
6023,2019-04-15,18,22,4
6025,2019-04-15,17,16,-1
6026,2019-04-15,3,6,3
6027,2019-04-15,30,39,9
6029,2019-04-15,8,5,-3
6031,2019-04-15,7,16,9
6032,2019-04-15,9,31,22
6033,2019-04-15,2,1,-1
6034,2019-04-15,5,11,6
6035,2019-04-15,3,2,-1
6036,2019-04-15,12,16,4
6037,2019-04-15,6,7,1
6038,2019-04-15,18,17,-1
6039,2019-04-15,24,24,0
6040,2019-04-15,17,18,1
6041,2019-04-15,12,9,-3
6042,2019-04-15,17,19,2
6043,2019-04-15,37,58,21
6044,2019-04-15,21,22,1
6046,2019-04-15,26,38,12
6047,2019-04-15,25,13,-12
6048,2019-04-15,14,14,0
6049,2019-04-15,38,37,-1
6051,2019-04-15,18,15,-3
6052,2019-04-15,21,26,5
6053,2019-04-15,32,38,6
6057,2019-04-15,28,20,-8
6058,2019-04-15,23,26,3
6059,2019-04-15,9,9,0
6060,2019-04-15,14,6,-8
6062,2019-04-15,12,10,-2
6063,2019-04-15,25,17,-8
6064,2019-04-15,43,47,4
6065,2019-04-15,13,15,2
6066,2019-04-15,14,2,-12
6067,2019-04-15,13,24,11
6070,2019-04-15,76,77,1
6072,2019-04-15,19,18,-1
6073,2019-04-15,39,55,16
6075,2019-04-15,17,10,-7
6076,2019-04-15,5,6,1
6079,2019-04-15,23,23,0
6080,2019-04-15,22,31,9
6081,2019-04-15,12,11,-1
6083,2019-04-15,31,25,-6
6084,2019-04-15,7,16,9
6085,2019-04-15,14,27,13
